INFO:root:Timestamp: 2024-05-02 02:37:22, Size: 25
INFO:root:Timestamp: 2024-05-02 02:42:22, Size: 28
INFO:root:Timestamp: 2024-05-02 02:47:23, Size: 26
INFO:root:Timestamp: 2024-05-02 02:52:23, Size: 24
INFO:root:Timestamp: 2024-05-02 02:57:23, Size: 21
INFO:root:Timestamp: 2024-05-02 03:02:24, Size: 22
INFO:root:Timestamp: 2024-05-02 03:07:24, Size: 18
INFO:root:Timestamp: 2024-05-02 03:12:25, Size: 10
INFO:root:Timestamp: 2024-05-02 03:17:25, Size: 9
INFO:root:Timestamp: 2024-05-02 03:22:26, Size: 11
INFO:root:Timestamp: 2024-05-02 03:27:26, Size: 13
INFO:root:Timestamp: 2024-05-02 03:32:26, Size: 14
INFO:root:Timestamp: 2024-05-02 03:37:27, Size: 17
INFO:root:Timestamp: 2024-05-02 03:42:27, Size: 16
INFO:root:Timestamp: 2024-05-02 03:47:28, Size: 14
INFO:root:Timestamp: 2024-05-02 03:52:28, Size: 18
INFO:root:Timestamp: 2024-05-02 03:57:29, Size: 15
INFO:root:Timestamp: 2024-05-02 04:02:29, Size: 14
INFO:root:Timestamp: 2024-05-02 04:07:29, Size: 12
INFO:root:Timestamp: 2024-05-02 04:12:30, Size: 12
INFO:root:Timestamp: 2024-05-02 04:17:30, Size: 12
INFO:root:Timestamp: 2024-05-02 04:22:31, Size: 12
INFO:root:Timestamp: 2024-05-02 04:27:31, Size: 11
INFO:root:Timestamp: 2024-05-02 04:32:32, Size: 11
INFO:root:Timestamp: 2024-05-02 04:37:32, Size: 10
INFO:root:Timestamp: 2024-05-02 04:42:33, Size: 11
INFO:root:Timestamp: 2024-05-02 04:47:33, Size: 10
INFO:root:Timestamp: 2024-05-02 04:52:33, Size: 11
INFO:root:Timestamp: 2024-05-02 04:57:34, Size: 14
INFO:root:Timestamp: 2024-05-02 05:02:34, Size: 6
INFO:root:Timestamp: 2024-05-02 05:07:35, Size: 2
INFO:root:Timestamp: 2024-05-02 05:12:35, Size: 4
INFO:root:Timestamp: 2024-05-02 05:17:36, Size: 3
INFO:root:Timestamp: 2024-05-02 05:22:36, Size: 6
INFO:root:Timestamp: 2024-05-02 05:27:37, Size: 4
INFO:root:Timestamp: 2024-05-02 05:32:37, Size: 4
INFO:root:Timestamp: 2024-05-02 05:37:37, Size: 4
INFO:root:Timestamp: 2024-05-02 05:42:38, Size: 4
INFO:root:Timestamp: 2024-05-02 05:47:38, Size: 0
INFO:root:Timestamp: 2024-05-02 05:52:39, Size: 0
INFO:root:Timestamp: 2024-05-02 05:57:39, Size: 0
INFO:root:Timestamp: 2024-05-02 06:02:40, Size: 0
INFO:root:Timestamp: 2024-05-02 06:07:40, Size: 0
INFO:root:Timestamp: 2024-05-02 06:12:41, Size: 0
INFO:root:Timestamp: 2024-05-02 06:17:41, Size: 0
INFO:root:Timestamp: 2024-05-02 06:22:42, Size: 0
INFO:root:Timestamp: 2024-05-02 06:27:42, Size: 0
INFO:root:Timestamp: 2024-05-02 06:32:42, Size: 0
INFO:root:Timestamp: 2024-05-02 06:37:43, Size: 0
INFO:root:Timestamp: 2024-05-02 06:42:43, Size: 0
INFO:root:Timestamp: 2024-05-02 06:47:44, Size: 0
INFO:root:Timestamp: 2024-05-02 06:52:44, Size: 0
INFO:root:Timestamp: 2024-05-02 06:57:45, Size: 0
INFO:root:Timestamp: 2024-05-02 07:02:45, Size: 0
INFO:root:Timestamp: 2024-05-02 07:07:46, Size: 0
INFO:root:Timestamp: 2024-05-02 07:12:46, Size: 0
INFO:root:Timestamp: 2024-05-02 07:17:46, Size: 0
INFO:root:Timestamp: 2024-05-02 07:22:47, Size: 0
INFO:root:Timestamp: 2024-05-02 07:27:47, Size: 0
INFO:root:Timestamp: 2024-05-02 07:32:48, Size: 0
INFO:root:Timestamp: 2024-05-02 07:37:48, Size: 0
INFO:root:Timestamp: 2024-05-02 07:42:49, Size: 0
INFO:root:Timestamp: 2024-05-02 07:47:49, Size: 0
INFO:root:Timestamp: 2024-05-02 07:52:50, Size: 0
INFO:root:Timestamp: 2024-05-02 07:57:50, Size: 0
INFO:root:Timestamp: 2024-05-02 08:02:51, Size: 0
INFO:root:Timestamp: 2024-05-02 08:07:51, Size: 0
INFO:root:Timestamp: 2024-05-02 08:12:51, Size: 0
INFO:root:Timestamp: 2024-05-02 08:17:52, Size: 0
INFO:root:Timestamp: 2024-05-02 08:22:52, Size: 0
